iso_n3	delta1	delta2	delta3
4	0.2	0.002	0.502
8	1.3	0.013	0.513
12	0.3	0.003	0.503
20	-0.2	-0.002	0.498
24	0.5	0.005	0.505
660	2.9	0.029	0.529
28	1.8	0.018	0.518
32	1	0.01	0.51
51	0.7	0.007	0.507
533	-12.4	-0.124	0.376
36	-0.2	-0.002	0.498
40	-0.6	-0.006	0.494
31	-0.4	-0.004	0.496
44	0.3	0.003	0.503
48	-3.5	-0.035	0.465
50	0.3	0.003	0.503
52	1.3	0.013	0.513
112	0.8	0.008	0.508
56	-2.8	-0.028	0.472
84	-0.3	-0.003	0.497
204	0.4	0.004	0.504
60	0.5	0.005	0.505
64	0.8	0.008	0.508
68	0.6	0.006	0.506
70	4.8	0.048	0.548
72	1.3	0.013	0.513
76	1	0.01	0.51
92	1.3	0.013	0.513
96	5.3	0.053	0.553
100	-1	-0.01	0.49
854	0	0	0.5
108	0	0	0.5
132	0.7	0.007	0.507
116	0.3	0.003	0.503
120	0	0	0.5
124	-0.9	-0.009	0.491
140	0	0	0.5
148	0	0	0.5
152	1.8	0.018	0.518
156	4.7	0.047	0.547
446	-0.9	-0.009	0.491
170	0.1	0.001	0.501
174	0.1	0.001	0.501
178	0.1	0.001	0.501
184	1.2	0.012	0.512
188	0.2	0.002	0.502
191	0.4	0.004	0.504
192	0.7	0.007	0.507
196	-1.1	-0.011	0.489
203	-2.8	-0.028	0.472
408	-2.2	-0.022	0.478
180	0.1	0.001	0.501
208	-5	-0.05	0.45
262	0.3	0.003	0.503
212	0.8	0.008	0.508
214	0.1	0.001	0.501
218	0.8	0.008	0.508
818	0.7	0.007	0.507
222	0.1	0.001	0.501
226	6.2	0.062	0.562
232	-0.2	-0.002	0.498
233	2.6	0.026	0.526
231	0.1	0.001	0.501
238	0.8	0.008	0.508
234	-0.7	-0.007	0.493
242	0.3	0.003	0.503
246	-1.7	-0.017	0.483
250	-1.4	-0.014	0.486
254	-1.4	-0.014	0.486
258	0.9	0.009	0.509
266	-1.2	-0.012	0.488
270	0.1	0.001	0.501
268	1.8	0.018	0.518
276	-1.7	-0.017	0.483
288	0.3	0.003	0.503
300	-1.3	-0.013	0.487
304	-0.1	-0.001	0.499
308	0.8	0.008	0.508
312	1.9	0.019	0.519
320	0.4	0.004	0.504
324	0	0	0.5
624	0	0	0.5
328	0.6	0.006	0.506
332	0.2	0.002	0.502
340	0.5	0.005	0.505
348	-1.5	-0.015	0.485
352	-1.2	-0.012	0.488
356	0.9	0.009	0.509
360	0.7	0.007	0.507
364	3.7	0.037	0.537
368	1.1	0.011	0.511
372	-1.8	-0.018	0.482
376	-1.5	-0.015	0.485
380	-2.2	-0.022	0.478
388	-1	-0.01	0.49
392	0.1	0.001	0.501
400	0.5	0.005	0.505
398	3.7	0.037	0.537
404	0	0	0.5
296	0.2	0.002	0.502
414	-8.3	-0.083	0.417
417	0.7	0.007	0.507
418	0.2	0.002	0.502
428	-0.3	-0.003	0.497
422	0.4	0.004	0.504
426	0.2	0.002	0.502
430	0.1	0.001	0.501
434	-0.5	-0.005	0.495
440	-0.1	-0.001	0.499
442	-3.1	-0.031	0.469
450	0	0	0.5
454	0	0	0.5
458	2.3	0.023	0.523
462	2.7	0.027	0.527
466	0.1	0.001	0.501
470	0.1	0.001	0.501
584	0.6	0.006	0.506
474	1.4	0.014	0.514
478	0.2	0.002	0.502
480	1.7	0.017	0.517
484	0.2	0.002	0.502
583	0.4	0.004	0.504
496	3.8	0.038	0.538
504	0.6	0.006	0.506
508	0.2	0.002	0.502
104	0.2	0.002	0.502
516	0.6	0.006	0.506
520	-6	-0.06	0.44
524	0.2	0.002	0.502
528	-1.7	-0.017	0.483
540	5.6	0.056	0.556
554	0.3	0.003	0.503
558	0.2	0.002	0.502
562	0	0	0.5
566	0.3	0.003	0.503
570	2.9	0.029	0.529
578	1.5	0.015	0.515
512	7.3	0.073	0.573
586	0.2	0.002	0.502
591	1.2	0.012	0.512
598	0.4	0.004	0.504
600	0.1	0.001	0.501
604	1	0.01	0.51
608	0.2	0.002	0.502
616	-1.5	-0.015	0.485
620	-0.8	-0.008	0.492
634	-13.7	-0.137	0.363
410	3.3	0.033	0.533
498	-1.4	-0.014	0.486
642	-2	-0.02	0.48
643	0.9	0.009	0.509
646	0	0	0.5
654	1.3	0.013	0.513
659	1.2	0.012	0.512
662	0.1	0.001	0.501
666	1	0.01	0.51
670	0.7	0.007	0.507
882	0.3	0.003	0.503
678	0.2	0.002	0.502
682	6.8	0.068	0.568
686	0.2	0.002	0.502
690	2.5	0.025	0.525
694	0.1	0.001	0.501
702	-1.9	-0.019	0.481
703	-2.2	-0.022	0.478
705	-1.1	-0.011	0.489
90	0	0	0.5
706	0	0	0.5
710	0.3	0.003	0.503
724	-1	-0.01	0.49
144	0.6	0.006	0.506
275	0.2	0.002	0.502
740	-1	-0.01	0.49
752	-1.7	-0.017	0.483
756	-1.2	-0.012	0.488
760	-1.2	-0.012	0.488
762	0.2	0.002	0.502
764	2	0.02	0.52
768	0.2	0.002	0.502
776	0.1	0.001	0.501
780	20.7	0.207	0.707
788	0.8	0.008	0.508
792	1.6	0.016	0.516
795	4.8	0.048	0.548
796	3.1	0.031	0.531
800	0.1	0.001	0.501
804	-3.6	-0.036	0.464
784	-6.9	-0.069	0.431
826	-2.7	-0.027	0.473
834	0.1	0.001	0.501
840	-2.8	-0.028	0.472
858	0.6	0.006	0.506
860	-0.9	-0.009	0.491
548	0.2	0.002	0.502
862	0	0	0.5
704	1.4	0.014	0.514
887	0.2	0.002	0.502
894	0	0	0.5
716	-0.5	-0.005	0.495
